City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,flinders,-34.5833,150.8552,26.21,69,71,3.13,AU,1678584162
332,grand forks,47.9417,-97.4337,-3.15,93,100,11.32,US,1678584162
333,senno,59.5336,33.9167,-3.19,97,100,5.01,RU,1678584163
334,tezu,27.9167,96.1667,22.14,30,6,1.27,IN,1678584163
335,tondon,10.3667,-13.35,20.86,88,7,0.75,GN,1678584163
336,paris,48.8534,2.3488,9.03,97,100,3.6,FR,1678583435
337,zhengjiatun,43.5064,123.5064,-3.37,21,99,6.1,CN,1678584164
338,soligalich,59.0778,42.2864,-3.75,92,100,6.48,RU,1678584164
339,dalbandin,28.8947,64.4101,18.32,28,54,1.38,PK,1678584165
340,san pedro,14.35,121.0167,27.57,62,20,1.54,PH,1678584033
341,olafsvik,64.8945,-23.7142,-6.43,65,100,10.28,IS,1678584165
342,patrocinio,-18.9439,-46.9925,18.74,93,100,0.28,BR,1678584165
343,dingle,10.9995,122.6711,26.01,69,11,5.37,PH,1678584166
344,wanlaweyn,2.6185,44.8938,25.59,80,61,5.65,SO,1678584166
345,simao,22.7886,100.9748,20.17,31,93,0.24,CN,1678584166
346,novikovo,51.1537,37.8879,8.97,88,100,7.81,RU,1678584167
347,aksarka,66.5606,67.7975,-11.07,82,100,7.64,RU,1678584167
348,acajutla,13.5928,-89.8275,26.22,73,1,2.54,SV,1678584167
349,saint-francois,46.4154,3.9054,9.69,93,100,2.06,FR,1678584168
350,tsogni,-2.7942,10.0988,23.56,89,100,0.8,GA,1678584168
351,cabras,39.93,8.5314,13.64,94,10,4.89,IT,1678584169
352,togur,58.3631,82.8265,-2.47,86,99,7.58,RU,1678584169
353,ostrovnoy,68.0531,39.5131,-8.09,90,100,6.43,RU,1678584169
354,chivay,-15.6383,-71.6011,10.41,81,100,2.65,PE,1678584170
355,marrakesh,31.6315,-8.0083,20.04,45,0,2.57,MA,1678583985
356,goure,13.9835,10.2704,22.16,11,61,3.54,NE,1678584128
357,jalingo,8.8833,11.3667,27.11,13,81,1.73,NG,1678584170
358,cordoba,-31.4135,-64.1811,29.31,65,0,2.57,AR,1678583966
359,san antonio,29.4241,-98.4936,29.86,48,0,2.57,US,1678583955
360,deniliquin,-35.5333,144.9667,24.8,38,26,4.18,AU,1678584171
361,berlevag,70.8578,29.0864,-9.03,57,4,1.03,NO,1678584171
362,kloulklubed,7.0419,134.2556,29.28,76,86,6.16,PW,1678584171
363,glomfjord,66.8167,13.9667,-9.68,70,46,3.06,NO,1678584144
364,henties bay,-22.116,14.2845,16.37,86,21,3.01,NA,1678584172
